==== Evaluation Results ====

| Model    | Resolution   | Horizon   | Target Variable   | Input Type   |    MAE |   RMSE |   MAPE (%) |   Fit Time |   # Params |
|----------|--------------|-----------|-------------------|--------------|--------|--------|------------|------------|------------|
| AR(1)    | 1h           | t+1       | T                 | Univariate   | 0.8700 | 1.2800 |   145.7800 |     0.0031 |          2 |
| AR(1)    | 1h           | t+6       | T                 | Univariate   | 2.2500 | 3.0500 |   311.7800 |     0.0031 |          2 |
| AR(1)    | 6h           | t+1       | T                 | Univariate   | 1.8100 | 2.5500 |   196.1300 |     0.0020 |          2 |
| AR(1)    | 6h           | t+4       | T                 | Univariate   | 1.8700 | 2.6300 |   118.3100 |     0.0020 |          2 |
| AR(1)    | 24h          | t+1       | T                 | Univariate   | 1.5200 | 2.1900 |   140.9300 |     0.0017 |          2 |
| AR(8)    | 1h           | t+1       | T                 | Univariate   | 0.6600 | 0.9600 |   122.7400 |     0.0058 |          9 |
| AR(8)    | 1h           | t+6       | T                 | Univariate   | 1.5800 | 2.0700 |   307.9000 |     0.0058 |          9 |
| AR(14)   | 6h           | t+1       | T                 | Univariate   | 2.5700 | 3.4800 |   158.7900 |     0.0020 |         15 |
| AR(14)   | 6h           | t+4       | T                 | Univariate   | 1.9100 | 2.6100 |   117.3800 |     0.0020 |         15 |
| AR(3)    | 24h          | t+1       | T                 | Univariate   | 1.6300 | 2.2300 |   118.6300 |     0.0020 |          4 |
| RNN      | 1h           | t+1       | T                 | Univariate   | 0.4100 | 0.5300 |    83.0900 |   225.6078 |       1153 |
| RNN      | 6h           | t+1       | T                 | Univariate   | 1.1800 | 1.5500 |   356.4300 |     5.0174 |       1153 |
| RNN      | 24h          | t+1       | T                 | Univariate   | 1.2900 | 2.0000 |   136.2900 |     0.5512 |       1153 |
| RNN      | 1h           | t+6       | T                 | Univariate   | 2.7300 | 3.1700 |   706.3200 |   225.6078 |       1153 |
| RNN      | 6h           | t+4       | T                 | Univariate   | 1.2600 | 1.6300 |   367.0200 |     5.0174 |       1153 |
| RNN_MV   | 1h           | t+1       | T                 | Multivariate | 0.3100 | 0.4200 |    39.7300 |   238.5690 |       1217 |
| RNN_MV   | 6h           | t+1       | T                 | Multivariate | 1.0500 | 1.3500 |   372.6800 |    29.1706 |       1217 |
| RNN_MV   | 24h          | t+1       | T                 | Multivariate | 1.3000 | 2.0200 |   135.9300 |     0.3411 |       1217 |
| RNN_MV   | 1h           | t+6       | T                 | Multivariate | 2.0400 | 2.7000 |   324.1000 |   238.5690 |       1217 |
| RNN_MV   | 6h           | t+4       | T                 | Multivariate | 1.1600 | 1.5200 |   350.8100 |    29.1706 |       1217 |
| ATT      | 1h           | t+1       | T                 | Univariate   | 0.4000 | 0.5400 |    76.0500 |   667.3014 |      21025 |
| ATT      | 6h           | t+1       | T                 | Univariate   | 1.1700 | 1.5000 |   298.5400 |    14.5952 |      18977 |
| ATT      | 24h          | t+1       | T                 | Univariate   | 1.3500 | 2.0400 |   232.9800 |     3.7550 |      18081 |
| ATT      | 1h           | t+6       | T                 | Univariate   | 2.4800 | 3.2000 |   463.1400 |   667.3014 |      21025 |
| ATT      | 6h           | t+4       | T                 | Univariate   | 1.2200 | 1.5600 |   350.5200 |    14.5952 |      18977 |
| ATT_MV   | 1h           | t+1       | T                 | Multivariate | 0.4300 | 0.5700 |    88.9300 |   246.8591 |      21089 |
| ATT_MV   | 6h           | t+1       | T                 | Multivariate | 1.1900 | 1.5500 |   384.9400 |    54.2700 |      19041 |
| ATT_MV   | 24h          | t+1       | T                 | Multivariate | 1.3000 | 1.9100 |   368.8800 |     2.5273 |      18145 |
| ATT_MV   | 1h           | t+6       | T                 | Multivariate | 2.7800 | 3.5900 |   532.4700 |   246.8591 |      21089 |
| ATT_MV   | 6h           | t+4       | T                 | Multivariate | 1.3800 | 1.8300 |   300.8900 |    54.2700 |      19041 |
| TRANS    | 1h           | t+1       | T                 | Univariate   | 0.3600 | 0.5000 |    48.8700 |   933.6536 |      38065 |
| TRANS    | 6h           | t+1       | T                 | Univariate   | 1.2400 | 1.6300 |   321.3100 |    19.5148 |      38065 |
| TRANS    | 24h          | t+1       | T                 | Univariate   | 1.2900 | 1.9900 |   107.4700 |     1.4925 |      38065 |
| TRANS    | 1h           | t+6       | T                 | Univariate   | 1.5900 | 2.1000 |   245.9500 |   933.6536 |      38065 |
| TRANS    | 6h           | t+4       | T                 | Univariate   | 1.2500 | 1.5800 |   375.4000 |    19.5148 |      38065 |
| TRANS_MV | 1h           | t+1       | T                 | Multivariate | 0.3900 | 0.5300 |    84.5500 |   585.6651 |      38161 |
| TRANS_MV | 6h           | t+1       | T                 | Multivariate | 1.1300 | 1.4500 |   268.8000 |    42.2326 |      38161 |
| TRANS_MV | 24h          | t+1       | T                 | Multivariate | 1.3000 | 1.9200 |   223.3000 |     2.4473 |      38161 |
| TRANS_MV | 1h           | t+6       | T                 | Multivariate | 2.3600 | 3.2200 |   444.9100 |   585.6651 |      38161 |
| TRANS_MV | 6h           | t+4       | T                 | Multivariate | 1.4400 | 1.8900 |   327.5400 |    42.2326 |      38161 |


==== Evaluation Results by Resolution ====


-- 1h --

| Model    | Resolution   | Horizon   | Target Variable   | Input Type   |    MAE |   RMSE |   MAPE (%) |   Fit Time |   # Params |
|----------|--------------|-----------|-------------------|--------------|--------|--------|------------|------------|------------|
| AR(1)    | 1h           | t+1       | T                 | Univariate   | 0.8700 | 1.2800 |   145.7800 |     0.0031 |          2 |
| AR(1)    | 1h           | t+6       | T                 | Univariate   | 2.2500 | 3.0500 |   311.7800 |     0.0031 |          2 |
| AR(8)    | 1h           | t+1       | T                 | Univariate   | 0.6600 | 0.9600 |   122.7400 |     0.0058 |          9 |
| AR(8)    | 1h           | t+6       | T                 | Univariate   | 1.5800 | 2.0700 |   307.9000 |     0.0058 |          9 |
| RNN      | 1h           | t+1       | T                 | Univariate   | 0.4100 | 0.5300 |    83.0900 |   225.6078 |       1153 |
| RNN      | 1h           | t+6       | T                 | Univariate   | 2.7300 | 3.1700 |   706.3200 |   225.6078 |       1153 |
| RNN_MV   | 1h           | t+1       | T                 | Multivariate | 0.3100 | 0.4200 |    39.7300 |   238.5690 |       1217 |
| RNN_MV   | 1h           | t+6       | T                 | Multivariate | 2.0400 | 2.7000 |   324.1000 |   238.5690 |       1217 |
| ATT      | 1h           | t+1       | T                 | Univariate   | 0.4000 | 0.5400 |    76.0500 |   667.3014 |      21025 |
| ATT      | 1h           | t+6       | T                 | Univariate   | 2.4800 | 3.2000 |   463.1400 |   667.3014 |      21025 |
| ATT_MV   | 1h           | t+1       | T                 | Multivariate | 0.4300 | 0.5700 |    88.9300 |   246.8591 |      21089 |
| ATT_MV   | 1h           | t+6       | T                 | Multivariate | 2.7800 | 3.5900 |   532.4700 |   246.8591 |      21089 |
| TRANS    | 1h           | t+1       | T                 | Univariate   | 0.3600 | 0.5000 |    48.8700 |   933.6536 |      38065 |
| TRANS    | 1h           | t+6       | T                 | Univariate   | 1.5900 | 2.1000 |   245.9500 |   933.6536 |      38065 |
| TRANS_MV | 1h           | t+1       | T                 | Multivariate | 0.3900 | 0.5300 |    84.5500 |   585.6651 |      38161 |
| TRANS_MV | 1h           | t+6       | T                 | Multivariate | 2.3600 | 3.2200 |   444.9100 |   585.6651 |      38161 |


-- 6h --

| Model    | Resolution   | Horizon   | Target Variable   | Input Type   |    MAE |   RMSE |   MAPE (%) |   Fit Time |   # Params |
|----------|--------------|-----------|-------------------|--------------|--------|--------|------------|------------|------------|
| AR(1)    | 6h           | t+1       | T                 | Univariate   | 1.8100 | 2.5500 |   196.1300 |     0.0020 |          2 |
| AR(1)    | 6h           | t+4       | T                 | Univariate   | 1.8700 | 2.6300 |   118.3100 |     0.0020 |          2 |
| AR(14)   | 6h           | t+1       | T                 | Univariate   | 2.5700 | 3.4800 |   158.7900 |     0.0020 |         15 |
| AR(14)   | 6h           | t+4       | T                 | Univariate   | 1.9100 | 2.6100 |   117.3800 |     0.0020 |         15 |
| RNN      | 6h           | t+1       | T                 | Univariate   | 1.1800 | 1.5500 |   356.4300 |     5.0174 |       1153 |
| RNN      | 6h           | t+4       | T                 | Univariate   | 1.2600 | 1.6300 |   367.0200 |     5.0174 |       1153 |
| RNN_MV   | 6h           | t+1       | T                 | Multivariate | 1.0500 | 1.3500 |   372.6800 |    29.1706 |       1217 |
| RNN_MV   | 6h           | t+4       | T                 | Multivariate | 1.1600 | 1.5200 |   350.8100 |    29.1706 |       1217 |
| ATT      | 6h           | t+1       | T                 | Univariate   | 1.1700 | 1.5000 |   298.5400 |    14.5952 |      18977 |
